"","No","Yes","NA.s"
"Body check General  Mouths ",94,3,1
"Body check General  Licks ",84,13,1
"Tea Towel First Response  Indifferent ",87,10,1
"Tea Towel First Response  Change from Neutral ",13,84,1
"Tea Towel First Response  Turns head ",17,80,1
"Tea Towel First Response  Attempts to Removes towel by moving ",48,49,1
"Tea Towel First Response  Attempts to Removes towel with mouth ",52,45,1
"Tea Towel First Response  Plays ",87,10,1
"Tea Towel Second Response  Indifferent ",71,24,3
"Tea Towel Second Response  Turns head ",31,64,3
"Tea Towel Second Response  Change from Neutral ",26,69,3
"Tea Towel Second Response  Attempts to Removes towel by moving ",50,45,3
"Tea Towel Second Response  Attempts to Removes towel with mouth ",58,37,3
"Tea Towel Second Response  Plays ",82,13,3
"Crate Urinating",95,1,2
"Isolation Urinating",97,1,1
